DateCreated,Year,Month,Week,Day
2024-04-01,2024,April,14,Monday
2024-04-02,2024,April,14,Tuesday
2024-04-03,2024,April,14,Wednesday
2024-04-04,2024,April,14,Thursday
2024-04-05,2024,April,14,Friday
2024-04-06,2024,April,14,Saturday
2024-04-07,2024,April,14,Sunday
2024-04-08,2024,April,15,Monday
2024-04-09,2024,April,15,Tuesday
2024-04-10,2024,April,15,Wednesday
2024-04-11,2024,April,15,Thursday
2024-04-12,2024,April,15,Friday
2024-04-13,2024,April,15,Saturday
2024-04-14,2024,April,15,Sunday
2024-04-15,2024,April,16,Monday
2024-04-16,2024,April,16,Tuesday
2024-04-17,2024,April,16,Wednesday
2024-04-18,2024,April,16,Thursday
2024-04-19,2024,April,16,Friday
2024-04-20,2024,April,16,Saturday
2024-04-21,2024,April,16,Sunday
2024-04-22,2024,April,17,Monday
2024-04-23,2024,April,17,Tuesday
2024-04-24,2024,April,17,Wednesday
2024-04-25,2024,April,17,Thursday
2024-04-26,2024,April,17,Friday
2024-04-27,2024,April,17,Saturday
2024-04-28,2024,April,17,Sunday
2024-04-29,2024,April,18,Monday
2024-04-30,2024,April,18,Tuesday
